"violation_id","plate_number","violation_type","violation_time","fine_amount","points_deducted","road_id","device_id","violation_location","violation_img","warning_level","dispose_status","dispose_time","dispose_user","create_time"
"55","豫A1037","无证驾驶","14/5/2024 23:00:00","800","12","4","18","郑州市惠济区文化路北段","/img/violation_1077.jpg","ORANGE","1","19/2/2024 06:00:00","3","2/1/2026 15:25:02"
"56","豫A1077","无证驾驶","10/1/2024 23:00:00","800","12","6","18","郑州市惠济区文化路北段","/img/violation_77.jpg","ORANGE","1","8/1/2024 14:00:00","3","2/1/2026 15:25:02"
"57","豫A1038","占用应急车道","15/5/2024 02:00:00","500","6","5","19","郑州市航空港区迎宾大道","/img/violation_1078.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"58","豫A1078","占用应急车道","11/1/2024 02:00:00","500","6","1","19","郑州市航空港区迎宾大道","/img/violation_78.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"59","豫A1039","违法变道","15/5/2024 05:00:00","100","2","6","20","郑州市经开区航海东路","/img/violation_1079.jpg","BLUE","1","19/2/2024 08:00:00","5","2/1/2026 15:25:02"
"60","豫A1079","违法变道","11/1/2024 05:00:00","100","2","2","20","郑州市经开区航海东路","/img/violation_79.jpg","BLUE","1","8/1/2024 16:00:00","5","2/1/2026 15:25:02"
"61","豫A1020","酒驾","12/5/2024 20:00:00","1300","12","5","1","郑州市金水区花园路农业路口","/img/violation_1060.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"62","豫A1060","酒驾","8/1/2024 20:00:00","1300","12","1","1","郑州市金水区花园路农业路口","/img/violation_60.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"63","豫A1021","无证驾驶","12/5/2024 23:00:00","800","12","6","2","郑州市金水区经三路东风路","/img/violation_1061.jpg","ORANGE","1","18/2/2024 14:00:00","2","2/1/2026 15:25:02"
"64","豫A1061","无证驾驶","8/1/2024 23:00:00","800","12","2","2","郑州市金水区经三路东风路","/img/violation_61.jpg","ORANGE","1","7/1/2024 22:00:00","2","2/1/2026 15:25:02"
"65","豫A1022","占用应急车道","13/5/2024 02:00:00","500","6","1","3","郑州市二七区大学路中原路口","/img/violation_1062.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"66","豫A1062","占用应急车道","9/1/2024 02:00:00","500","6","3","3","郑州市二七区大学路中原路口","/img/violation_62.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"67","豫A1023","违法变道","13/5/2024 05:00:00","100","2","2","4","郑州市中原区建设路嵩山路","/img/violation_1063.jpg","BLUE","1","18/2/2024 16:00:00","4","2/1/2026 15:25:02"
"68","豫A1063","违法变道","9/1/2024 05:00:00","100","2","4","4","郑州市中原区建设路嵩山路","/img/violation_63.jpg","BLUE","1","8/1/2024 00:00:00","4","2/1/2026 15:25:02"
"69","豫A1024","闯红灯","13/5/2024 08:00:00","300","6","3","5","郑州市管城回族区紫荆山路","/img/violation_1064.jpg","RED","0",,,"2/1/2026 15:25:02"
"70","豫A1064","闯红灯","9/1/2024 08:00:00","300","6","5","5","郑州市管城回族区紫荆山路","/img/violation_64.jpg","RED","0",,,"2/1/2026 15:25:02"
"71","豫A1025","超速行驶","13/5/2024 11:00:00","150","3","4","6","郑州市郑东新区商务内环路","/img/violation_1065.jpg","BLUE","1","18/2/2024 18:00:00","1","2/1/2026 15:25:02"
"72","豫A1065","超速行驶","9/1/2024 11:00:00","150","3","6","6","郑州市郑东新区商务内环路","/img/violation_65.jpg","BLUE","1","8/1/2024 02:00:00","1","2/1/2026 15:25:02"
"73","豫A1026","违法停车","13/5/2024 14:00:00","50","0","5","7","郑州市高新区科学大道","/img/violation_1066.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"74","豫A1066","违法停车","9/1/2024 14:00:00","50","0","1","7","郑州市高新区科学大道","/img/violation_66.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"75","豫A1027","未系安全带","13/5/2024 17:00:00","100","2","6","8","郑州市惠济区文化路北段","/img/violation_1067.jpg","BLUE","1","18/2/2024 20:00:00","3","2/1/2026 15:25:02"
"76","豫A1067","未系安全带","9/1/2024 17:00:00","100","2","2","8","郑州市惠济区文化路北段","/img/violation_67.jpg","BLUE","1","8/1/2024 04:00:00","3","2/1/2026 15:25:02"
"77","豫A1028","酒驾","13/5/2024 20:00:00","1300","12","1","9","郑州市航空港区迎宾大道","/img/violation_1068.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"78","豫A1068","酒驾","9/1/2024 20:00:00","1300","12","3","9","郑州市航空港区迎宾大道","/img/violation_68.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"79","豫A1029","无证驾驶","13/5/2024 23:00:00","800","12","2","10","郑州市经开区航海东路","/img/violation_1069.jpg","ORANGE","1","18/2/2024 22:00:00","5","2/1/2026 15:25:02"
"80","豫A1069","无证驾驶","9/1/2024 23:00:00","800","12","4","10","郑州市经开区航海东路","/img/violation_69.jpg","ORANGE","1","8/1/2024 06:00:00","5","2/1/2026 15:25:02"
"81","豫A1010","违法停车","11/5/2024 14:00:00","50","0","1","11","郑州市金水区花园路农业路口","/img/violation_1050.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"82","豫A1050","违法停车","7/1/2024 14:00:00","50","0","3","11","郑州市金水区花园路农业路口","/img/violation_50.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"83","豫A1011","未系安全带","11/5/2024 17:00:00","100","2","2","12","郑州市金水区经三路东风路","/img/violation_1051.jpg","BLUE","1","18/2/2024 04:00:00","2","2/1/2026 15:25:02"
"84","豫A1051","未系安全带","7/1/2024 17:00:00","100","2","4","12","郑州市金水区经三路东风路","/img/violation_51.jpg","BLUE","1","7/1/2024 12:00:00","2","2/1/2026 15:25:02"
"85","豫A1012","酒驾","11/5/2024 20:00:00","1300","12","3","13","郑州市二七区大学路中原路口","/img/violation_1052.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"86","豫A1052","酒驾","7/1/2024 20:00:00","1300","12","5","13","郑州市二七区大学路中原路口","/img/violation_52.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"87","豫A1013","无证驾驶","11/5/2024 23:00:00","800","12","4","14","郑州市中原区建设路嵩山路","/img/violation_1053.jpg","ORANGE","1","18/2/2024 06:00:00","4","2/1/2026 15:25:02"
"88","豫A1053","无证驾驶","7/1/2024 23:00:00","800","12","6","14","郑州市中原区建设路嵩山路","/img/violation_53.jpg","ORANGE","1","7/1/2024 14:00:00","4","2/1/2026 15:25:02"
"89","豫A1014","占用应急车道","12/5/2024 02:00:00","500","6","5","15","郑州市管城回族区紫荆山路","/img/violation_1054.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"90","豫A1054","占用应急车道","8/1/2024 02:00:00","500","6","1","15","郑州市管城回族区紫荆山路","/img/violation_54.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"91","豫A1015","违法变道","12/5/2024 05:00:00","100","2","6","16","郑州市郑东新区商务内环路","/img/violation_1055.jpg","BLUE","1","18/2/2024 08:00:00","1","2/1/2026 15:25:02"
"92","豫A1055","违法变道","8/1/2024 05:00:00","100","2","2","16","郑州市郑东新区商务内环路","/img/violation_55.jpg","BLUE","1","7/1/2024 16:00:00","1","2/1/2026 15:25:02"
"93","豫A1016","闯红灯","12/5/2024 08:00:00","300","6","1","17","郑州市高新区科学大道","/img/violation_1056.jpg","RED","0",,,"2/1/2026 15:25:02"
"94","豫A1056","闯红灯","8/1/2024 08:00:00","300","6","3","17","郑州市高新区科学大道","/img/violation_56.jpg","RED","0",,,"2/1/2026 15:25:02"
"95","豫A1017","超速行驶","12/5/2024 11:00:00","150","3","2","18","郑州市惠济区文化路北段","/img/violation_1057.jpg","BLUE","1","18/2/2024 10:00:00","3","2/1/2026 15:25:02"
"96","豫A1057","超速行驶","8/1/2024 11:00:00","150","3","4","18","郑州市惠济区文化路北段","/img/violation_57.jpg","BLUE","1","7/1/2024 18:00:00","3","2/1/2026 15:25:02"
"97","豫A1018","违法停车","12/5/2024 14:00:00","50","0","3","19","郑州市航空港区迎宾大道","/img/violation_1058.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"98","豫A1058","违法停车","8/1/2024 14:00:00","50","0","5","19","郑州市航空港区迎宾大道","/img/violation_58.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"99","豫A1019","未系安全带","12/5/2024 17:00:00","100","2","4","20","郑州市经开区航海东路","/img/violation_1059.jpg","BLUE","1","18/2/2024 12:00:00","5","2/1/2026 15:25:02"
"100","豫A1059","未系安全带","8/1/2024 17:00:00","100","2","6","20","郑州市经开区航海东路","/img/violation_59.jpg","BLUE","1","7/1/2024 20:00:00","5","2/1/2026 15:25:02"
"101","豫A1000","闯红灯","10/5/2024 08:00:00","300","6","3","1","郑州市金水区花园路农业路口","/img/violation_1040.jpg","RED","0",,,"2/1/2026 15:25:02"
"102","豫A1040","闯红灯","6/1/2024 08:00:00","300","6","5","1","郑州市金水区花园路农业路口","/img/violation_40.jpg","RED","0",,,"2/1/2026 15:25:02"
"103","豫A1001","超速行驶","10/5/2024 11:00:00","150","3","4","2","郑州市金水区经三路东风路","/img/violation_1041.jpg","BLUE","1","17/2/2024 18:00:00","2","2/1/2026 15:25:02"
"104","豫A1041","超速行驶","6/1/2024 11:00:00","150","3","6","2","郑州市金水区经三路东风路","/img/violation_41.jpg","BLUE","1","7/1/2024 02:00:00","2","2/1/2026 15:25:02"
"105","豫A1002","违法停车","10/5/2024 14:00:00","50","0","5","3","郑州市二七区大学路中原路口","/img/violation_1042.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"106","豫A1042","违法停车","6/1/2024 14:00:00","50","0","1","3","郑州市二七区大学路中原路口","/img/violation_42.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"107","豫A1003","未系安全带","10/5/2024 17:00:00","100","2","6","4","郑州市中原区建设路嵩山路","/img/violation_1043.jpg","BLUE","1","17/2/2024 20:00:00","4","2/1/2026 15:25:02"
"108","豫A1043","未系安全带","6/1/2024 17:00:00","100","2","2","4","郑州市中原区建设路嵩山路","/img/violation_43.jpg","BLUE","1","7/1/2024 04:00:00","4","2/1/2026 15:25:02"
"109","豫A1004","酒驾","10/5/2024 20:00:00","1300","12","1","5","郑州市管城回族区紫荆山路","/img/violation_1044.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"110","豫A1044","酒驾","6/1/2024 20:00:00","1300","12","3","5","郑州市管城回族区紫荆山路","/img/violation_44.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"111","豫A1005","无证驾驶","10/5/2024 23:00:00","800","12","2","6","郑州市郑东新区商务内环路","/img/violation_1045.jpg","ORANGE","1","17/2/2024 22:00:00","1","2/1/2026 15:25:02"
"112","豫A1045","无证驾驶","6/1/2024 23:00:00","800","12","4","6","郑州市郑东新区商务内环路","/img/violation_45.jpg","ORANGE","1","7/1/2024 06:00:00","1","2/1/2026 15:25:02"
"113","豫A1006","占用应急车道","11/5/2024 02:00:00","500","6","3","7","郑州市高新区科学大道","/img/violation_1046.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"114","豫A1046","占用应急车道","7/1/2024 02:00:00","500","6","5","7","郑州市高新区科学大道","/img/violation_46.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"115","豫A1007","违法变道","11/5/2024 05:00:00","100","2","4","8","郑州市惠济区文化路北段","/img/violation_1047.jpg","BLUE","1","18/2/2024 00:00:00","3","2/1/2026 15:25:02"
"116","豫A1047","违法变道","7/1/2024 05:00:00","100","2","6","8","郑州市惠济区文化路北段","/img/violation_47.jpg","BLUE","1","7/1/2024 08:00:00","3","2/1/2026 15:25:02"
"117","豫A1008","闯红灯","11/5/2024 08:00:00","300","6","5","9","郑州市航空港区迎宾大道","/img/violation_1048.jpg","RED","0",,,"2/1/2026 15:25:02"
"118","豫A1048","闯红灯","7/1/2024 08:00:00","300","6","1","9","郑州市航空港区迎宾大道","/img/violation_48.jpg","RED","0",,,"2/1/2026 15:25:02"
"119","豫A1009","超速行驶","11/5/2024 11:00:00","150","3","6","10","郑州市经开区航海东路","/img/violation_1049.jpg","BLUE","1","18/2/2024 02:00:00","5","2/1/2026 15:25:02"
"120","豫A1049","超速行驶","7/1/2024 11:00:00","150","3","2","10","郑州市经开区航海东路","/img/violation_49.jpg","BLUE","1","7/1/2024 10:00:00","5","2/1/2026 15:25:02"
"121","豫A1070","占用应急车道","9/5/2024 02:00:00","500","6","5","11","郑州市金水区花园路农业路口","/img/violation_1030.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"122","豫A1030","占用应急车道","5/1/2024 02:00:00","500","6","1","11","郑州市金水区花园路农业路口","/img/violation_30.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"123","豫A1071","违法变道","9/5/2024 05:00:00","100","2","6","12","郑州市金水区经三路东风路","/img/violation_1031.jpg","BLUE","1","17/2/2024 08:00:00","2","2/1/2026 15:25:02"
"124","豫A1031","违法变道","5/1/2024 05:00:00","100","2","2","12","郑州市金水区经三路东风路","/img/violation_31.jpg","BLUE","1","6/1/2024 16:00:00","2","2/1/2026 15:25:02"
"125","豫A1072","闯红灯","9/5/2024 08:00:00","300","6","1","13","郑州市二七区大学路中原路口","/img/violation_1032.jpg","RED","0",,,"2/1/2026 15:25:02"
"126","豫A1032","闯红灯","5/1/2024 08:00:00","300","6","3","13","郑州市二七区大学路中原路口","/img/violation_32.jpg","RED","0",,,"2/1/2026 15:25:02"
"127","豫A1073","超速行驶","9/5/2024 11:00:00","150","3","2","14","郑州市中原区建设路嵩山路","/img/violation_1033.jpg","BLUE","1","17/2/2024 10:00:00","4","2/1/2026 15:25:02"
"128","豫A1033","超速行驶","5/1/2024 11:00:00","150","3","4","14","郑州市中原区建设路嵩山路","/img/violation_33.jpg","BLUE","1","6/1/2024 18:00:00","4","2/1/2026 15:25:02"
"129","豫A1074","违法停车","9/5/2024 14:00:00","50","0","3","15","郑州市管城回族区紫荆山路","/img/violation_1034.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"130","豫A1034","违法停车","5/1/2024 14:00:00","50","0","5","15","郑州市管城回族区紫荆山路","/img/violation_34.jpg","BLUE","0",,,"2/1/2026 15:25:02"
"131","豫A1075","未系安全带","9/5/2024 17:00:00","100","2","4","16","郑州市郑东新区商务内环路","/img/violation_1035.jpg","BLUE","1","17/2/2024 12:00:00","1","2/1/2026 15:25:02"
"132","豫A1035","未系安全带","5/1/2024 17:00:00","100","2","6","16","郑州市郑东新区商务内环路","/img/violation_35.jpg","BLUE","1","6/1/2024 20:00:00","1","2/1/2026 15:25:02"
"133","豫A1076","酒驾","9/5/2024 20:00:00","1300","12","5","17","郑州市高新区科学大道","/img/violation_1036.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"134","豫A1036","酒驾","5/1/2024 20:00:00","1300","12","1","17","郑州市高新区科学大道","/img/violation_36.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"135","豫A1077","无证驾驶","9/5/2024 23:00:00","800","12","6","18","郑州市惠济区文化路北段","/img/violation_1037.jpg","ORANGE","1","17/2/2024 14:00:00","3","2/1/2026 15:25:02"
"136","豫A1037","无证驾驶","5/1/2024 23:00:00","800","12","2","18","郑州市惠济区文化路北段","/img/violation_37.jpg","ORANGE","1","6/1/2024 22:00:00","3","2/1/2026 15:25:02"
"137","豫A1078","占用应急车道","10/5/2024 02:00:00","500","6","1","19","郑州市航空港区迎宾大道","/img/violation_1038.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"138","豫A1038","占用应急车道","6/1/2024 02:00:00","500","6","3","19","郑州市航空港区迎宾大道","/img/violation_38.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"139","豫A1079","违法变道","10/5/2024 05:00:00","100","2","2","20","郑州市经开区航海东路","/img/violation_1039.jpg","BLUE","1","17/2/2024 16:00:00","5","2/1/2026 15:25:02"
"140","豫A1039","违法变道","6/1/2024 05:00:00","100","2","4","20","郑州市经开区航海东路","/img/violation_39.jpg","BLUE","1","7/1/2024 00:00:00","5","2/1/2026 15:25:02"
"141","豫A1060","酒驾","7/5/2024 20:00:00","1300","12","1","1","郑州市金水区花园路农业路口","/img/violation_1020.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"142","豫A1020","酒驾","3/1/2024 20:00:00","1300","12","3","1","郑州市金水区花园路农业路口","/img/violation_20.jpg","ORANGE","0",,,"2/1/2026 15:25:02"
"143","豫A1061","无证驾驶","7/5/2024 23:00:00","800","12","2","2","郑州市金水区经三路东风路","/img/violation_1021.jpg","ORANGE","1","16/2/2024 22:00:00","2","2/1/2026 15:25:02"
"144","豫A1021","无证驾驶","3/1/2024 23:00:00","800","12","4","2","郑州市金水区经三路东风路","/img/violation_21.jpg","ORANGE","1","6/1/2024 06:00:00","2","2/1/2026 15:25:02"
"145","豫A1062","占用应急车道","8/5/2024 02:00:00","500","6","3","3","郑州市二七区大学路中原路口","/img/violation_1022.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"146","豫A1022","占用应急车道","4/1/2024 02:00:00","500","6","5","3","郑州市二七区大学路中原路口","/img/violation_22.jpg","YELLOW","0",,,"2/1/2026 15:25:02"
"147","豫A1063","违法变道","8/5/2024 05:00:00","100","2","4","4","郑州市中原区建设路嵩山路","/img/violation_1023.jpg","BLUE","1","17/2/2024 00:00:00","4","2/1/2026 15:25:02"
"148","豫A1023","违法变道","4/1/2024 05:00:00","100","2","6","4","郑州市中原区建设路嵩山路","/img/violation_23.jpg","BLUE","1","6/1/2024 08:00:00","4","2/1/2026 15:25:02"
